protocol_id,outer_fold,case_id,role
rid-static-verifier-phase1-v1,1,VID03,held_out
rid-static-verifier-phase1-v1,1,VID11,fit
rid-static-verifier-phase1-v1,1,VID17,fit
rid-static-verifier-phase1-v1,1,VID19,fit
rid-static-verifier-phase1-v1,1,VID23,calibration
rid-static-verifier-phase1-v1,1,VID28,fit
rid-static-verifier-phase1-v1,1,VID30,fit
rid-static-verifier-phase1-v1,1,VID34,fit
rid-static-verifier-phase1-v1,1,VID37,fit
rid-static-verifier-phase1-v1,1,VID39,calibration
rid-static-verifier-phase1-v1,1,VID44,fit
rid-static-verifier-phase1-v1,1,VID46,held_out
rid-static-verifier-phase1-v1,1,VID54,fit
rid-static-verifier-phase1-v1,1,VID59,held_out
rid-static-verifier-phase1-v1,1,VID63,fit
rid-static-verifier-phase1-v1,1,VID67,calibration
rid-static-verifier-phase1-v1,1,VID71,fit
rid-static-verifier-phase1-v1,1,VID76,fit
rid-static-verifier-phase1-v1,2,VID03,fit
rid-static-verifier-phase1-v1,2,VID11,held_out
rid-static-verifier-phase1-v1,2,VID17,fit
rid-static-verifier-phase1-v1,2,VID19,fit
rid-static-verifier-phase1-v1,2,VID23,fit
rid-static-verifier-phase1-v1,2,VID28,calibration
rid-static-verifier-phase1-v1,2,VID30,held_out
rid-static-verifier-phase1-v1,2,VID34,fit
rid-static-verifier-phase1-v1,2,VID37,fit
rid-static-verifier-phase1-v1,2,VID39,fit
rid-static-verifier-phase1-v1,2,VID44,calibration
rid-static-verifier-phase1-v1,2,VID46,calibration
rid-static-verifier-phase1-v1,2,VID54,fit
rid-static-verifier-phase1-v1,2,VID59,fit
rid-static-verifier-phase1-v1,2,VID63,fit
rid-static-verifier-phase1-v1,2,VID67,fit
rid-static-verifier-phase1-v1,2,VID71,fit
rid-static-verifier-phase1-v1,2,VID76,held_out
rid-static-verifier-phase1-v1,3,VID03,fit
rid-static-verifier-phase1-v1,3,VID11,fit
rid-static-verifier-phase1-v1,3,VID17,fit
rid-static-verifier-phase1-v1,3,VID19,fit
rid-static-verifier-phase1-v1,3,VID23,fit
rid-static-verifier-phase1-v1,3,VID28,held_out
rid-static-verifier-phase1-v1,3,VID30,calibration
rid-static-verifier-phase1-v1,3,VID34,held_out
rid-static-verifier-phase1-v1,3,VID37,fit
rid-static-verifier-phase1-v1,3,VID39,held_out
rid-static-verifier-phase1-v1,3,VID44,calibration
rid-static-verifier-phase1-v1,3,VID46,fit
rid-static-verifier-phase1-v1,3,VID54,calibration
rid-static-verifier-phase1-v1,3,VID59,fit
rid-static-verifier-phase1-v1,3,VID63,fit
rid-static-verifier-phase1-v1,3,VID67,fit
rid-static-verifier-phase1-v1,3,VID71,fit
rid-static-verifier-phase1-v1,3,VID76,fit
rid-static-verifier-phase1-v1,4,VID03,fit
rid-static-verifier-phase1-v1,4,VID11,fit
rid-static-verifier-phase1-v1,4,VID17,fit
rid-static-verifier-phase1-v1,4,VID19,held_out
rid-static-verifier-phase1-v1,4,VID23,held_out
rid-static-verifier-phase1-v1,4,VID28,fit
rid-static-verifier-phase1-v1,4,VID30,fit
rid-static-verifier-phase1-v1,4,VID34,fit
rid-static-verifier-phase1-v1,4,VID37,fit
rid-static-verifier-phase1-v1,4,VID39,calibration
rid-static-verifier-phase1-v1,4,VID44,fit
rid-static-verifier-phase1-v1,4,VID46,fit
rid-static-verifier-phase1-v1,4,VID54,fit
rid-static-verifier-phase1-v1,4,VID59,fit
rid-static-verifier-phase1-v1,4,VID63,fit
rid-static-verifier-phase1-v1,4,VID67,held_out
rid-static-verifier-phase1-v1,4,VID71,calibration
rid-static-verifier-phase1-v1,4,VID76,calibration
rid-static-verifier-phase1-v1,5,VID03,fit
rid-static-verifier-phase1-v1,5,VID11,fit
rid-static-verifier-phase1-v1,5,VID17,calibration
rid-static-verifier-phase1-v1,5,VID19,calibration
rid-static-verifier-phase1-v1,5,VID23,fit
rid-static-verifier-phase1-v1,5,VID28,fit
rid-static-verifier-phase1-v1,5,VID30,calibration
rid-static-verifier-phase1-v1,5,VID34,fit
rid-static-verifier-phase1-v1,5,VID37,held_out
rid-static-verifier-phase1-v1,5,VID39,fit
rid-static-verifier-phase1-v1,5,VID44,fit
rid-static-verifier-phase1-v1,5,VID46,fit
rid-static-verifier-phase1-v1,5,VID54,fit
rid-static-verifier-phase1-v1,5,VID59,fit
rid-static-verifier-phase1-v1,5,VID63,held_out
rid-static-verifier-phase1-v1,5,VID67,fit
rid-static-verifier-phase1-v1,5,VID71,held_out
rid-static-verifier-phase1-v1,5,VID76,fit
rid-static-verifier-phase1-v1,6,VID03,fit
rid-static-verifier-phase1-v1,6,VID11,fit
rid-static-verifier-phase1-v1,6,VID17,held_out
rid-static-verifier-phase1-v1,6,VID19,calibration
rid-static-verifier-phase1-v1,6,VID23,fit
rid-static-verifier-phase1-v1,6,VID28,fit
rid-static-verifier-phase1-v1,6,VID30,fit
rid-static-verifier-phase1-v1,6,VID34,calibration
rid-static-verifier-phase1-v1,6,VID37,fit
rid-static-verifier-phase1-v1,6,VID39,fit
rid-static-verifier-phase1-v1,6,VID44,held_out
rid-static-verifier-phase1-v1,6,VID46,fit
rid-static-verifier-phase1-v1,6,VID54,held_out
rid-static-verifier-phase1-v1,6,VID59,fit
rid-static-verifier-phase1-v1,6,VID63,fit
rid-static-verifier-phase1-v1,6,VID67,fit
rid-static-verifier-phase1-v1,6,VID71,fit
rid-static-verifier-phase1-v1,6,VID76,calibration
